gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,bachelor's degree,free/reduced,completed,59,92,84
female,group C,some college,standard,none,61,90,55
male,group B,master's degree,standard,completed,86,79,81
male,group B,associate's degree,free/reduced,none,58,68,81
female,group D,some high school,standard,none,70,77,66
male,group C,bachelor's degree,free/reduced,none,71,85,70
male,group E,some college,standard,none,61,100,72
male,group C,some high school,standard,none,71,78,69
female,group D,some high school,standard,none,89,100,61
female,group C,associate's degree,free/reduced,none,60,89,67
female,group D,some high school,standard,none,89,68,85
male,group C,high school,free/reduced,none,74,81,53
male,group C,some high school,free/reduced,completed,47,100,69
male,group E,some college,free/reduced,none,48,95,47
female,group C,some college,standard,none,57,94,89
female,group B,some college,free/reduced,none,58,73,70
male,group D,high school,free/reduced,none,62,70,62
female,group D,some high school,standard,none,75,84,74
male,group A,associate's degree,standard,none,93,100,57
male,group C,high school,standard,completed,80,86,69
male,group E,associate's degree,standard,none,71,80,52
female,group D,some high school,free/reduced,none,32,76,48
male,group E,some high school,standard,none,73,64,94
male,group C,high school,standard,completed,80,74,72
male,group D,some college,standard,completed,78,85,89
female,group C,some college,standard,completed,100,100,68
female,group E,bachelor's degree,standard,completed,100,81,90
female,group C,high school,free/reduced,completed,85,79,59
female,group D,some college,standard,none,52,57,79
male,group C,some college,standard,completed,66,90,78
male,group C,some high school,free/reduced,none,55,82,100
male,group D,some college,standard,none,61,100,83
female,group C,high school,standard,completed,83,79,69
female,group E,some college,standard,none,76,80,86
female,group C,some high school,free/reduced,none,43,68,100
female,group D,associate's degree,free/reduced,none,82,82,47
female,group C,master's degree,standard,none,74,82,62
female,group C,some high school,standard,completed,48,82,70
female,group C,some college,standard,none,71,79,69
male,group B,associate's degree,standard,completed,84,88,75
female,group B,high school,standard,none,92,67,59
male,group D,associate's degree,free/reduced,completed,68,76,100
male,group D,associate's degree,free/reduced,none,83,97,55
female,group D,master's degree,standard,completed,80,100,78
male,group A,master's degree,free/reduced,none,44,58,90
male,group C,some high school,free/reduced,none,42,47,70
female,group B,some college,standard,none,83,64,62
female,group D,some college,standard,none,89,74,53
male,group E,some high school,free/reduced,none,67,80,68
female,group B,high school,standard,completed,93,88,68
female,group D,master's degree,free/reduced,completed,96,80,82
female,group B,some high school,standard,completed,84,90,53
male,group B,some college,standard,none,53,62,89
male,group B,bachelor's degree,free/reduced,none,96,66,72
male,group C,high school,standard,completed,82,79,84
male,group D,some college,standard,completed,75,64,100
female,group E,master's degree,standard,none,61,65,71
male,group B,some college,standard,completed,79,61,69
female,group C,some high school,standard,none,45,88,67
female,group D,some high school,standard,completed,88,87,75
male,group E,master's degree,standard,completed,68,90,78
female,group D,high school,standard,completed,82,47,69
male,group B,some college,standard,none,65,55,42
male,group D,some high school,free/reduced,none,63,81,55
male,group C,some college,standard,none,60,41,77
male,group E,master's degree,standard,completed,77,99,86
male,group C,some college,standard,none,95,55,92
female,group D,master's degree,standard,completed,100,90,100
female,group A,high school,free/reduced,completed,77,62,85
female,group C,some college,standard,none,69,89,99
female,group E,bachelor's degree,standard,none,89,100,87
female,group D,some college,free/reduced,completed,85,49,100
male,group C,high school,free/reduced,none,58,82,99
female,group E,bachelor's degree,free/reduced,none,66,43,88
female,group D,some college,free/reduced,none,40,79,83
female,group C,some college,free/reduced,none,82,69,58
female,group C,master's degree,standard,completed,100,81,88
male,group C,high school,standard,none,71,56,70
male,group D,high school,standard,none,39,89,90
male,group C,some high school,standard,none,81,53,59
male,group B,some college,standard,none,57,89,66
female,group E,high school,standard,none,54,68,38
male,group E,associate's degree,free/reduced,completed,78,59,100
female,group D,high school,free/reduced,none,75,92,67
female,group E,associate's degree,free/reduced,none,56,66,81
female,group D,high school,standard,completed,71,100,100
male,group D,high school,standard,none,69,95,77
female,group D,high school,standard,none,64,62,97
